SP	FB	KP	KI	KD	PWM
0,000000	49,400000	3,340000	19,030000	0,000000	900,000000
0,000000	48,140000	3,340000	19,030000	0,000000	900,000000
0,000000	47,040000	3,340000	19,030000	0,000000	900,000000
0,000000	45,980000	3,340000	19,030000	0,000000	900,000000
0,000000	44,760000	3,340000	19,030000	0,000000	900,000000
0,000000	43,600000	3,340000	19,030000	0,000000	900,000000
0,000000	42,360000	3,340000	19,030000	0,000000	900,000000
0,000000	41,200000	3,340000	19,030000	0,000000	900,000000
0,000000	40,280000	3,340000	19,030000	0,000000	1384,000000
0,000000	39,200000	3,340000	19,030000	0,000000	1384,000000
0,000000	39,300000	3,340000	19,030000	0,000000	1384,000000
0,000000	36,880000	3,340000	19,030000	0,000000	1384,000000
0,000000	37,660000	3,340000	19,030000	0,000000	1384,000000
0,000000	41,280000	3,340000	19,030000	0,000000	1384,000000
0,000000	56,020000	3,340000	19,030000	0,000000	1384,000000
0,000000	73,020000	3,340000	19,030000	0,000000	1384,000000
0,000000	93,240000	3,340000	19,030000	0,000000	1384,000000
0,000000	115,820000	3,340000	19,030000	0,000000	1384,000000
0,000000	133,220000	3,340000	19,030000	0,000000	1384,000000
0,000000	163,020000	3,340000	19,030000	0,000000	1372,000000
0,000000	172,580000	3,340000	19,030000	0,000000	1372,000000
0,000000	186,620000	3,340000	19,030000	0,000000	1372,000000
0,000000	204,800000	3,340000	19,030000	0,000000	1372,000000
0,000000	204,800000	3,340000	19,030000	0,000000	1372,000000
0,000000	216,040000	3,340000	19,030000	0,000000	1372,000000
0,000000	230,960000	3,340000	19,030000	0,000000	1372,000000
0,000000	239,160000	3,340000	19,030000	0,000000	1372,000000
0,000000	251,880000	3,340000	19,030000	0,000000	1372,000000
0,000000	258,120000	3,340000	19,030000	0,000000	1372,000000
0,000000	268,560000	3,340000	19,030000	0,000000	1372,000000
0,000000	274,540000	3,340000	19,030000	0,000000	1372,000000
0,000000	282,560000	3,340000	19,030000	0,000000	1372,000000
0,000000	288,040000	3,340000	19,030000	0,000000	1372,000000
0,000000	294,440000	3,340000	19,030000	0,000000	1372,000000
0,000000	298,860000	3,340000	19,030000	0,000000	1372,000000
0,000000	303,720000	3,340000	19,030000	0,000000	1372,000000
0,000000	307,500000	3,340000	19,030000	0,000000	1372,000000
0,000000	311,480000	3,340000	19,030000	0,000000	1372,000000
0,000000	315,140000	3,340000	19,030000	0,000000	1372,000000
0,000000	317,980000	3,340000	19,030000	0,000000	1372,000000
0,000000	321,300000	3,340000	19,030000	0,000000	1372,000000
0,000000	323,300000	3,340000	19,030000	0,000000	1372,000000
0,000000	326,100000	3,340000	19,030000	0,000000	1372,000000
0,000000	326,780000	3,340000	19,030000	0,000000	1372,000000
0,000000	328,720000	3,340000	19,030000	0,000000	1372,000000
0,000000	329,400000	3,340000	19,030000	0,000000	1372,000000
0,000000	331,180000	3,340000	19,030000	0,000000	1372,000000
0,000000	331,860000	3,340000	19,030000	0,000000	1372,000000
0,000000	333,160000	3,340000	19,030000	0,000000	1372,000000
0,000000	333,880000	3,340000	19,030000	0,000000	1372,000000
0,000000	335,460000	3,340000	19,030000	0,000000	1372,000000
0,000000	336,140000	3,340000	19,030000	0,000000	1372,000000
0,000000	337,360000	3,340000	19,030000	0,000000	1372,000000
0,000000	338,460000	3,340000	19,030000	0,000000	1372,000000
0,000000	339,340000	3,340000	19,030000	0,000000	1372,000000
0,000000	339,340000	3,340000	19,030000	0,000000	1372,000000
0,000000	339,880000	3,340000	19,030000	0,000000	1372,000000
0,000000	340,460000	3,340000	19,030000	0,000000	1372,000000
0,000000	341,220000	3,340000	19,030000	0,000000	1372,000000
0,000000	341,740000	3,340000	19,030000	0,000000	1372,000000
0,000000	341,980000	3,340000	19,030000	0,000000	1372,000000
0,000000	342,800000	3,340000	19,030000	0,000000	1372,000000
0,000000	342,960000	3,340000	19,030000	0,000000	1372,000000
0,000000	343,720000	3,340000	19,030000	0,000000	1372,000000
0,000000	343,560000	3,340000	19,030000	0,000000	1372,000000
0,000000	344,200000	3,340000	19,030000	0,000000	1372,000000
0,000000	344,200000	3,340000	19,030000	0,000000	1372,000000
0,000000	345,020000	3,340000	19,030000	0,000000	1372,000000
0,000000	345,040000	3,340000	19,030000	0,000000	1372,000000
0,000000	345,200000	3,340000	19,030000	0,000000	1372,000000
0,000000	345,800000	3,340000	19,030000	0,000000	1372,000000
0,000000	345,880000	3,340000	19,030000	0,000000	1372,000000
0,000000	346,360000	3,340000	19,030000	0,000000	1372,000000
0,000000	346,760000	3,340000	19,030000	0,000000	1372,000000
0,000000	346,840000	3,340000	19,030000	0,000000	1372,000000
0,000000	346,860000	3,340000	19,030000	0,000000	1372,000000
0,000000	347,220000	3,340000	19,030000	0,000000	1372,000000
0,000000	347,200000	3,340000	19,030000	0,000000	1372,000000
0,000000	347,460000	3,340000	19,030000	0,000000	1372,000000
